Item,Obtained By:,Type,Realm,Biome,Seeds Cost,Product Cost,Sell Cost,Profit per Plant/ Ingredient,Grow/ Respawn Time,Yield,Energy Restore,On Hand,Storage 1,Storage 2,Storage 3,Needed
Apple,Foraging,Fruit,Base Game,"Peaceful Meadow, Plaza",--,50,25,25,20 Min,3,300,,,,,
Asparagus,Gardening,Vegetables,Base Game,Frosted Heights,159,200,133,240,2 Hr 15 Min,3,42,,,,,
Banana,Foraging,Fruit,Base Game,"Dazzle Beach, Peaceful Meadow",--,58,29,29,23 Min,3,350,,,,,
Basil,Foraging,Spice & Herbs,Base Game,Peaceful Meadow,--,--,50,50,,1,100,,,,,
Bell Pepper,Gardening,Vegetables,Base Game,Forest of Valor,12,50,33,21,15 Min,1,79,,,,,
Blue Marshmallow,Foraging,,Base Game,Valley,--,--,50,50,,,450,,,,,
Blueberry,Foraging,Fruit,Base Game,"Forest of Valor, Dazzle Beach",--,58,29,29,23 Min,3,350,,,,,
Butter,Gardening,Pantry,Base Game,Remy's Restaurant,--,190,190,--,,,285,,,,,
Carrot,Gardening,Vegetables,"Base Game, Wishblossom Mountain","Peaceful Meadow, Glamour Gulch",10,--,44,34,15 Min,1,57,,,,,
Cheese,Gardening,Pantry,Base Game,Remy's Restaurant,--,180,180,180,--,-,270,,,,,
Cherry,Foraging,Fruit,Base Game,"Frosted Heights, Sunlit Plateau",--,83,42,42,33 Min,3,500,,,,,
Chrysanthemum Tea Leaves,Gardening,Spice & Herbs,Base Game,Mulan's Tea Stall,--,0,25,25,,,25,,,,,
Clam,Foraging,Seafood,Base Game,Dazzle Beach,--,--,50,50,--,1,120,,,,,
Cocoa Bean,Foraging,Fruit,Base Game,"Glade of Trust, Sunlit Plateau",--,75,38,38,30 Min,3,450,,,,,
Coconut,Foraging,Fruit,Base Game,Dazzle Beach,--,--,42,42,33 Min,3,500,,,,,
Coffee Bean,Foraging,Fruit,Base Game,Glade of Trust,--,--,36,36,40 Min,3,425,,,,,
Cucumber,Gardening,Vegetables,Base Game,"Frosted Heights, Mythopia",40,239,159,119,1 Hr 15 Min,1,145,,,,,
Dreamlight Fruit,Foraging,Fruit,Base Game,Sunlit Plateau,--,--,40,40,1 Day,3,500,,,,,
Egg,Gardening,Pantry,Base Game,Remy's Restaurant,--,220,220,--,,,330,,,,,
Eggplant,Gardening,Vegetables,Base Game,Frosted Heights,95,462,308,213,3 Hr,1,451,,,,,
Ginger,Foraging,Spice & Herbs,Base Game,Forgotten Lands,--,--,50,50,--,1,175,,,,,
Gooseberry,Foraging,Fruit,Base Game,"Forgotten Lands, Frosted Heights",--,100,50,50,40 Min,3,600,,,,,
Jasmine Tea Leaves,Gardening,Spice & Herbs,Base Game,Mulan's Tea Stall,--,0,25,25,--,--,25,,,,,
Leek,Gardening,Vegetables,Base Game,Forgotten Lands,120,464,309,189,2 Hr,1,228,,,,,
Lemon,Foraging,Fruit,Base Game,"Forest of Valor, Glade of Trust",--,67,33,33,27 Min,3,400,,,,,
Lettuce,Gardening,Vegetables,Base Game,Peaceful Meadow,3,12,8,5,3 Min,1,56,,,,,
Milk,Gardening,Pantry,Base Game,Remy's Restaurant,--,230,230,--,--,--,345,,,,,
Mint,Foraging,Spice & Herbs,Base Game,Frosted Heights,--,--,50,50,--,1,155,,,,,
Mushroom,Foraging,Spice & Herbs,Base Game,"Glade of Trust, Peaceful Meadow, Sunlit Plateau",--,--,30,30,--,1,105,,,,,
Okra,Gardening,Vegetables,Base Game,Glade of Trust,135,171,114,207,2 Hr,3,31,,,,,
Oolong Tea Leaves,Gardening,Spice & Herbs,Base Game,Mulan's Tea Stall,--,0,25,25,--,3,25,,,,,
Oregano,Foraging,Spice & Herbs,Base Game,Plaza,--,--,50,50,--,1,95,,,,,
Oyster,Foraging,Seafood,Base Game,Dazzle Beach,--,--,50,50,--,1,250,,,,,
Peanut,Gardening,Pantry,Base Game,Remy's Restaurant,--,200,200,--,,,300,,,,,
Pink Marshmallow,Foraging,,Base Game,,--,--,50,50,,,450,,,,,
Pumpkin,Gardening,Vegetables,Base Game,Forgotten Lands,275,996,664,389,4 Hr,1,187,,,,,
Raspberry,Foraging,Fruit,Base Game,"Plaza, Peaceful Meadow",--,42,21,21,17 Min,3,250,,,,,
Scallop,Foraging,Seafood,Base Game,Dazzle Beach,--,--,50,50,--,1,125,,,,,
Slush Ice,Gardening,Pantry,Base Game,Remy's Restaurant,--,150,150,--,--,--,225,,,,,
Soya,Gardening,Grains,Base Game,Sunlit Plateau,60,104,69,147,1 Hr 30 Min,3,58,,,,,
Sugarcane,Gardening,Grains,Base Game,Dazzle Beach,5,29,19,14,7 Min,1,46,,,,,
Zucchini,Gardening,Vegetables,Base Game,Sunlit Plateau,30,78,52,74,40 Min,2,48,,,,,
Canola,Gardening,Grains,"Base Game, Eternity Isle","Forest of Valor, Ancient's Landing",25,164,109,84,35 Min,1,59,,,,,
Chili Pepper,Gardening,Vegetables,"Base Game, Eternity Isle","Sunlit Plateau, Glittering Dunes",20,117,78,58,45 Min,1,140,,,,,
Corn,Gardening,Grains,"Base Game, Eternity Isle","Dazzle Beach, Glittering Dunes",15,24,16,17,12 Min,2,30,,,,,
Tomato,Gardening,Vegetables,"Base Game, Eternity Isle","Dazzle Beach, Wild Tangle",8,33,22,58,25 Min,3,21,,,,,
Garlic,Foraging,Spice & Herbs,"Base Game, Eternity Isle, Storybook Vale","Forest of Valor, The Grove, The Lagoon, The Everafter",--,--,50,50,--,1,135,,,,,
Potato,Gardening,Vegetables,"Base Game, Eternity Isle, Storybook Vale","Forgotten Lands, Wild Tangle, The Everafter",55,189,126,71,35 Min,1,113,,,,,
Wheat,Gardening,Grains,"Base Game, Eternity Isle, Storybook Vale","Peaceful Meadow, Ancient's Landing, The Bind",1,3,2,3,1 Min,2,19,,,,,
Onion,Gardening,Vegetables,"Base Game, Storybook Vale","Forest of Valor, The Everafter",50,255,170,120,1 Hr 15 Min,1,146,,,,,
Rice,Gardening,Grains,"Base Game, Storybook Vale","Glade of Trust, The Bind",35,92,61,87,50 Min,2,59,,,,,
Spinach,Gardening,Vegetables,"Base Game, Storybook Vale","Glade of Trust, Mythopia",45,62,41,78,1 Hr,3,60,,,,,
Vanilla,Foraging,Spice & Herbs,"Base Game, Storybook Vale","Sunlit Plateau, Mythopia",--,--,50,50,--,1,135,,,,,
Agave,Foraging,Spice & Herbs,Eternity Isle,Glittering Dunes,--,--,25,25,--,1,100,,,,,
Almonds,Foraging,Fruit,Eternity Isle,"The Courtyard, The Lagoon",--,--,42,42,50 Min,2,500,,,,,
Almonds,Foraging,Fruit,Eternity Isle,"The Courtyard, The Lagoon",--,42,150,150,50 Min,2,500,,,,,
Bamboo,Foraging,Vegetables,Eternity Isle,Wild Tangle,--,--,62,62,---,---,155,,,,,
Beans,Gardening,Vegetables,Eternity Isle,Glittering Dunes,50,--,49,97,1 Hr,3,41,,,,,
Broccoli,Gardening,Vegetables,Eternity Isle,Glittering Dunes,60,,152,92,40 Min,1,73,,,,,
Cabbage,Gardening,Vegetables,Eternity Isle,Wild Tangle,150,--,256,106,1 Hr,1,142,,,,,
Cactoberries,Foraging,Fruit,Eternity Isle,Glittering Dunes,--,--,34,34,45 Min,2,400,,,,,
Celery,Gardening,Vegetables,Eternity Isle,Ancient's Landing,20/,--,65,65,10 Min,1,60,,,,,
Cosmic Figs,Gardening,Fruit,Eternity Isle,Ancient's Landing,10,--,22,34,25 Min,2,52,,,,,
Cumin,Foraging,Spice & Herbs,Eternity Isle,Ancient's Landing,--,--,15,15,--,--,90,,,,,
Dates,Foraging,Fruit,Eternity Isle,Glittering Dunes,--,--,29,29,55 Min,3,350,,,,,
Dreamango,Foraging,Fruit,Eternity Isle,The Lagoon,--,--,50,50,1 Hr,2,600,,,,,
Flute Root,Gardening,Vegetables,Eternity Isle,Glittering Dunes,70,--,112,154,1 Hr 15 Min,2,46,,,,,
Grapes,Gardening,Fruit,Eternity Isle,Ancient's Landing,5,--,9,22,20 Min,3,21,,,,,
Majestea,Foraging,Spice & Herbs,Eternity Isle,"The Overlook, The Ruins",--,--,30,30,--,--,105,,,,,
Melon,Gardening,Fruit,Eternity Isle,Glittering Dunes,40,--,93,53,30 Min,1,88,,,,,
Nestling Pear,Foraging,Fruit,Eternity Isle,"The Ruins, The Overlook",--,--,25,25,35 Min,2,300,,,,,
Paprika,Foraging,Spice & Herbs,Eternity Isle,"The Oasis, The Borderlands",--,--,50,50,--,--,125,,,,,
Pineapple,Gardening,Fruit,Eternity Isle,Wild Tangle,200,--,532,332,3 Hr,1,168,,,,,
Pork,Stall Purchase,Protein,Eternity Isle,The Wastes,--,250,250,--,--,--,250,,,,,
Poultry,Stall Purchase,Protein,Eternity Isle,The Wastes,--,500,500,--,--,--,250,,,,,
Ruby Lentils,Gardening,Vegetables,Eternity Isle,Wild Tangle,250,--,156,218,2 Hrs,3,37,,,,,
Strawberry,Foraging,Fruit,Eternity Isle,"The Ruins, The Overlook",--,--,23,23,30 Min,2,800,,,,,
Turnip,Gardening,Vegetables,Eternity Isle,Wild Tangle,100,--,187,274,4 Hrs,2,263,,,,,
Venison,Stall Purchase,Protein,Eternity Isle,The Wastes,--,"1,000","1,000",--,--,--,250,,,,,
Yam,Gardening,Vegetables,Eternity Isle,Ancient's Landing,15,--,36,21,15 Min,1,83,,,,,
Cinnamon,Foraging,Spice & Herbs,"Eternity Isle, Storybook Vale","Wild Tangle, The Bind",--,--,30,30,--,--,155,,,,,
Cinnamon,Foraging,Spice & Herbs,"Eternity Isle, Storybook Vale","Wild Tangle, The Bind",--,30,147,150,--,--,155,,,,,
Ambrosia,Stall Purchase,Spice & Herbs,Storybook Vale,Mythopia,--,140,70,70,--,--,350,,,,,
Barley,Gardening,Grains,Storybook Vale,The Bind,15,--,15,0,15 Min,1,19,,,,,
Black Pepper,Gardening,Spice & Herbs,Storybook Vale,Mythopia,70,--,83,13,1 Hr 30 Min,1,33,,,,,
Brussels Sprouts,Foraging,Vegetables,Storybook Vale,The Everafter,--,--,30,30,30 Min,4,400,,,,,
Cape Gooseberry,Foraging,Fruit,Storybook Vale,The Bind,--,--,55,55,--,4,130,,,,,
Cauliflower,Gardening,Vegetables,Storybook Vale,The Bind,10,--,25,15,10 Min,1,72,,,,,
Chia Seeds,Gardening,Protein,Storybook Vale,The Bind,5,--,6,1,5 Min,1,19,,,,,
Elysian Grain,Stall Purchase,Grains,Storybook Vale,Mythopia,--,260,130,-130,--,--,50,,,,,
Faerie Rye,Gardening,Grains,Storybook Vale,The Everafter,60,-,62,2,1 Hr 15 Min,1,48,,,,,
Flyleaf Feta,Stall Purchase,Protein,Storybook Vale,The Bind,--,150,75,-75,--,--,100,,,,,
Golden Apple,Stall Purchase,Fruit,Storybook Vale,Mythopia,--,220,110,110,--,--,250,,,,,
Green Beans,Gardening,Vegetables,Storybook Vale,The Everafter,250,--,209,-41,4 Hrs,1,59,,,,,
Honeydew Melon,Gardening,Fruit,Storybook Vale,Mythopia,40,--,125,85,45 Min,1,123,,,,,
Lightning Spice,Foraging,Spice & Herbs,Storybook Vale,Mythopia,--,--,65,65,--,1,140,,,,,
Nutmeg,Foraging,Spice & Herbs,Storybook Vale,Mythopia,--,--,45,45,35 Min,3,450,,,,,
Oats,Gardening,Grains,Storybook Vale,The Everafter,150,--,99,-51,2 Hrs,1,100,,,,,
Olives,Foraging,Protein,Storybook Vale,Mythopia,--,--,35,35,30 Min,4,350,,,,,
Persimmon,Foraging,Fruit,Storybook Vale,The Bind,--,--,25,25,25 Min,4,300,,,,,
Plain Yogurt,Stall Purchase,Protein,Storybook Vale,The Everafter,--,240,120,-120,--,--,300,,,,,
Porcini Mushrooms,Foraging,Vegetables,Storybook Vale,The Everafter,--,--,55,55,--,1,130,,,,,
Radicchio,Gardening,Vegetables,Storybook Vale,Mythopia,50,--,127,77,1 Hr,1,186,,,,,
Radish,Gardening,Vegetables,Storybook Vale,The Everafter,100,--,133,33,1 Hr 45 Min,1,97,,,,,
Rhubarb,Gardening,Fruit,Storybook Vale,The Everafter,200,--,229,29,3 Hrs,1,145,,,,,
Ring Squash,Gardening,Vegetables,Storybook Vale,The Bind,20,--,41,21,30 Min,1,32,,,,,
Salt Crystal,Fishing,Spice & Herbs,Storybook Vale,The Everafter,--,--,20,20,--,1,25,,,,,
Sea Grapes,Fishing,Fruit,Storybook Vale,The Bind,--,--,20,20,--,1,25,,,,,
Shovel Bird Egg,Stall Purchase,Protein,Storybook Vale,The Bind,--,160,80,-80,--,--,200,,,,,
Sour Berries,Foraging,Fruit,Storybook Vale,The Bind,--,--,40,40,30 Min,3,400,,,,,
Spiral Strawberries,Foraging,Fruit,Storybook Vale,The Everafter,--,--,50,50,40 Min,3,500,,,,,
Trumpet Snail,Foraging,Seafood,Storybook Vale,The Bind,--,--,60,60,--,1,135,,,,,
Beetroot,Gardening,Vegetables,Wishblossom Mountain,"Wishblossom Ranch, Wishing Way",10,--,21,11,5 Min,1,56,,,,,
Bonsai Star Fruit,Foraging,Fruit,Wishblossom Mountain,Pixie Acres,--,--,40,40,35 Min,2,450,,,,,
Button Mushroom,Foraging,Spice & Herbs,Wishblossom Mountain,Glamour Gulch,--,--,60,60,--,1,135,,,,,
Dark Chocolate Coffee Beans,Gardening,Fruit,Wishblossom Mountain,"Wishblossom Ranch, Wishing Way",60,--,66,72,30 Min,2,33,,,,,
Dill,Foraging,Spice & Herbs,Wishblossom Mountain,Wishing Alps,--,--,40,40,--,1,115,,,,,
Fairy Kamut,Gardening,Grains,Wishblossom Mountain,Sundae Shores,200,--,107,121,50 Min,3,28,,,,,
Fairy Sprinkles,Foraging,Spice & Herbs,Wishblossom Mountain,Pixie Acres,--,--,80,80,--,1,155,,,,,
Lollipop Fruit,Gardening,Fruit,Wishblossom Mountain,Sundae Shores,175,--,115,55,40 Min,2,73,,,,,
Pearly Barley,Gardening,Grains,Wishblossom Mountain,"Wishblossom Ranch, Wishing Way",50,--,45,40,20 Min,2,39,,,,,
Pincushion Peach,Foraging,Fruit,Wishblossom Mountain,Glamour Gulch,--,--,38,38,30,2,400,,,,,
Red Currants,Foraging,Fruit,Wishblossom Mountain,Wishing Alps,--,--,33,33,25,2,350,,,,,
Scarlet Kale,Gardening,Vegetables,Wishblossom Mountain,"Wishblossom Ranch, Wishing Way",15,--,29,43,10 Min,2,69,,,,,
Honey Coral,Fishing,Spice & Herbs,Wishblossom Mountain,Pixie Acres,--,--,175,175,--,1,325,,,,,