,Night Thorn/Dried Flower Reset: 5 AM,,,,,,,,,,,,,
Task,Task Type,Realm,Reward Type,Complete,Rank 1,Rank 1 - Reward,Rank 2,Rank 2 - Reward,Rank 3,Rank 3 - Reward,Rank 4,Rank 4 - Reward,Rank 5,Rank 5 - Reward
Cook 1-Star Meals or Better,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,15,100,45,200,80,300,180,500
Cook 2-Star Meals or Better,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,15,100,45,200,80,300,180,500
Cook 3-Star Meals or Better,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,15,100,45,200,80,300,180,500
Cook 4-Star Meals or Better,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,15,100,45,200,80,300,180,500
Cook 5-Star Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,15,100,45,200,80,300,180,500
Cook Fish-Based Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook Fruit-Based Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook Grain-Based Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,225,200,400,300,900,500
Cook Seafood-Based Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook Vegetable-Based Meals,Food,Base Game,Dreamlight,☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook With Spices,Food,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Sell Meals,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,25,100,75,200,130,300,300,500
Catch Different Types of Fish,Food,Base Game,Dreamlight,☆☆☆,2,100,10,200,20,300,,,,
Catch Fish,Food,Base Game,Dreamlight,☆☆☆☆☆,10,50,140,100,450,200,800,300,"1,800",500
Catch Fish from Dazzle Beach,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Forest of Valor,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Forgotten Lands,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Frosted Heights,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Glade of Trust,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Peaceful Meadow,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Sunlit Plateau,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Seafood,Food,Base Game,Dreamlight,☆☆☆☆☆,2,50,20,100,60,200,110,300,600,500
Catch Without Failing,Food,Base Game,Dreamlight,☆☆☆,3,100,50,200,100,300,,,,
Gather Bonus Fish given by a Companion,Food,Base Game,Dreamlight,☆☆☆☆☆,3,50,25,100,100,200,200,300,400,500
Sell Fish,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,45,100,150,200,270,300,600,500
Buy Seeds from Dazzle Beach,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds from the Forest of Valor,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds from the Forgotten Lands,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds from the Frosted Heights,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds from the Glade of Trust,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds from the Peaceful Meadow,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds from the Sunlit Plateau,Food,Base Game,Dreamlight,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Gather Bonus Vegetables given by a Companion,Food,Base Game,Dreamlight,☆☆☆☆☆,3,50,25,100,100,200,200,300,400,500
Harvest Different Vegetables,Food,Base Game,Dreamlight,☆☆☆,5,100,10,300,16,500,,,,
Harvest Vegetables,Food,Base Game,Dreamlight,☆☆☆☆☆,25,50,400,100,"1,100",200,"2,000",300,"4,500",500
Plant Vegetables,Food,Base Game,Dreamlight,☆☆☆☆☆,25,50,400,100,"1,100",200,"2,000",300,"4,500",500
Sell Vegetables,Food,Base Game,Dreamlight,☆☆☆☆☆,10,50,120,100,380,200,670,300,"1,500",500
Water Dried Vegetables,Food,Base Game,Dreamlight,☆☆☆☆☆,50,50,600,100,"1,900",200,"3,400",300,"7,700",500
Feed Crocodiles Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Foxes Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Rabbits Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Raccoons Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Ravens Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Sea Turtles Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Squirrels Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed Sunbirds Their Favorite Food,Foraging,Base Game,Dreamlight,☆☆☆,1,100,3,200,10,500,,,,
Feed the Crocodiles,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Foxes,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Rabbits,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Raccoons,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Ravens,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Sea Turtles,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Squirrels,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Sunbirds,Foraging,Base Game,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Gather Bonous Fruit given by a Companion,Foraging,Base Game,Dreamlight,☆☆☆☆☆,3,50,25,100,100,200,200,300,400,500
Gather Bonus Flowers given by a Companion,Foraging,Base Game,Dreamlight,☆☆☆☆☆,3,50,25,100,100,200,200,300,400,500
Harvest Apples,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Bananas,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Basil,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Blueberries,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Cherries,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Cocoa,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Coconuts,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Differrent Fruits,Foraging,Base Game,Dreamlight,☆☆☆,3,100,6,300,9,500,,,,
Harvest Dreamlight Fruit,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Garlic,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Ginger,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Gooseberries,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Lemons,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Mint,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Mushrooms,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Oregano,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Raspberries,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Vanilla,Foraging,Base Game,Dreamlight,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Remove Small Night Thorns,Foraging,Base Game,Dreamlight,☆☆☆☆☆,20,50,230,100,750,200,"1,300",300,"3,000",500
Sell Fruit,Foraging,Base Game,Dreamlight,☆☆☆☆☆,20,50,230,100,750,200,"1,300",300,"3,000",500
Embrace the Blues,Friendship,Base Game,Dreamlight,☆,Hang out with Sadness for a total of 120 minutes (2 hours),Fog Horns Hockey Uniform,,,,,,,,
Spark Joy,Friendship,Base Game,Dreamlight,☆,Hang out with Joy for a total of 120 minutes (2 hours).,Hockey Stick,,,,,,,,
Befriend Companions,Friendship,Base Game,Dreamlight,☆☆☆,1,100,10,300,40,500,,,,
Bring Friends Their Favorite Gifts,Friendship,Base Game,Dreamlight,☆☆☆☆☆,1,50,15,100,45,200,80,300,180,500
Bring Gifts!,Friendship,Base Game,Dreamlight,☆☆☆☆☆,3,50,40,100,140,200,240,300,540,500
Have 1 Friend at a Certain Level,Friendship,Base Game,Dreamlight,☆☆☆☆☆,LV 2,50,LV 4,100,LV 6,200,LV 8,300,LV 10,500
Have 10 Friends at a Certain Level,Friendship,Base Game,Dreamlight,☆☆☆☆☆,LV 2,50,LV 4,100,LV 6,200,LV 8,300,LV 10,500
Have 20 Friends at a Certain Level,Friendship,Base Game,Dreamlight,☆☆☆☆☆,LV 2,50,LV 4,100,LV 6,200,LV 8,300,LV 10,500
Have 5 Friends at a Certain Level,Friendship,Base Game,Dreamlight,☆☆☆☆☆,LV 2,50,LV 4,100,LV 6,200,LV 8,300,LV 10,500
Have Daily Discussions!,Friendship,Base Game,Dreamlight,☆☆☆☆☆,1,50,50,100,100,200,500,300,"1,000",500
Make Best Friends,Friendship,Base Game,Dreamlight,☆☆☆,1,100,5,300,15,500,,,,
Make Friends,Friendship,Base Game,Dreamlight,☆☆☆☆☆,1,50,5,100,10,200,15,300,24,500
Reach Friendship Level  with 1 Companion,Friendship,Base Game,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 10 Companions,Friendship,Base Game,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 20 Companions,Friendship,Base Game,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 40 Companions,Friendship,Base Game,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 5 Companions,Friendship,Base Game,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Take Pictures,Friendship,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,20,200,30,300,50,500
Gather Bonus Gems given by a Companion,Mining,Base Game,Dreamlight,☆☆☆☆☆,3,50,25,100,100,200,200,300,400,500
Mine Amethysts,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Aquamarine,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Citrine,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Diamonds,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Emeralds,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Garnets,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Minerals,Mining,Base Game,Dreamlight,☆☆☆☆☆,10,50,140,100,450,200,800,300,"1,800",500
Mine Peridot,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Rubies,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Sapphires,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Topazes,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Tourmaline,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Vitalys Crystals,Mining,Base Game,Dreamlight,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Sell Gems,Mining,Base Game,Dreamlight,☆☆☆☆☆,4,50,45,100,150,200,270,300,600,500
Gain Star Coins,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,"10,000",50,"140,000",100,"450,00",200,"800,000",300,"1,800,000",500
Memorabilia,Mysteries,Base Game,Dreamlight,☆,Memorabilia - Collect 200 Memory Orbs,Lance Slashblade Statue,,,,,,,,
Feeling Expansive,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D25, which requires removing Hockey Equipment",Anxiety Squirrel,,,,,,,,
Feeling Accomplished,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D24, Base Game Memory D25, and Base Game Memory D26.",Embarrassment Turtle,,,,,,,,
Feeling Nostalgic,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D26, which requires removing Hockey Trophy,",Envy Rabbit,,,,,,,,
Get Nostalgic!,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D39, which requires removing Riley's Phone",Nostalgia Capybara,,,,,,,,
Feeling Joyful,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D24, which requires removing Riley's Birthday Cake",Ennui Raven Companion,,,,,,,,
A 3-Course Halloween Meal,Mysteries,Base Game,Dreamlight,☆,"Eat Red, Blue, and Green Candy",Green Trick or Treater's Bounty,,,,,,,,
A Home for the Holidays,Mysteries,Base Game,Dreamlight,☆,Place 5 festive-themed furniture inside your house,Winter Carpet,,,,,,,,
A Shining Icon,Mysteries,Base Game,Dreamlight,☆,Craft Metallic Mickey Popcorn Bucket,Metallic Mickey's Handheld Popcorn Bucket,,,,,,,,
Add Rooms to Your House,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,2,50,5,100,10,200,15,300,25,500
Button-Maker,Mysteries,Base Game,Dreamlight,☆,Craft 20 Purple Buttones,Retroc Magic Kingdom Map,,,,,,,,
Calmer of Chaos,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Clean Your Room,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Complete Dreamlight Duties,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,7,50,90,100,280,200,500,300,"1,100",500
Cookie Taste Test,Mysteries,Base Game,Dreamlight,☆,Make/eat 3 different cookie recipes,Festive Candy Ears,,,,,,,,
Craftily Ever After,Mysteries,Base Game,Dreamlight,☆,Craft Cinderella Popcorn Bucket,Handheld Cinderella Popcorn Bucket,,,,,,,,
Destination: Imagination,Mysteries,Base Game,Dreamlight,☆,Craft Figment Popcorn Bucket,Figment Handheld Popcorn Bucket,,,,,,,,
Do You Wanna Build a Snowman,Mysteries,Base Game,Dreamlight,☆,Craft  a snowman,Festive Candy Ears with Bow,,,,,,,,
Eggs-ceptional Decorating,Mysteries,Base Game,Dreamlight,☆,Craft/Place,Tulip Lamp,,,,,,,,
Even Fish Are Festive,Mysteries,Base Game,Dreamlight,☆,Catch all 5 festive-themed fish,Santa Hat,,,,,,,,
Expert Treasure Hunter,Mysteries,Base Game,Dreamlight,☆,2,Pirate Crossbones Motif,,,,,,,,
Ho! Ho! Ho! Duty,Mysteries,Base Game,Dreamlight,☆,Collect 10 rolls of wrapping paper,Pile of Gifts,,,,,,,,
Jungle Bungles,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Lucky You!,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Mine Time!,Mysteries,Base Game,Dreamlight,☆,Craft mine cart Popcorn Bucket,Handheld Mine Cart Popcorn Bucket,,,,,,,,
More than a Mirage,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
"Oh, Brother",Mysteries,Base Game,Dreamlight,☆,Craft Pooh's Popcorn Bucket,Pooh's Handheld Popcorn Bucket,,,,,,,,
Popcorn Enthusiast,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,Cinderella Popcorn Bucket,--,Figment Popcorn Bucket,--,Metallic Mickey Popcorn Bucket,--,Pooh's Popcorn Bucket,--,Stitch Popcorn Bucket,Vintage Magic Kingdom Map
Remove Giant Night Thorns from Biomes,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,3,300,6,500,,,,
Repair Houses,Mysteries,Base Game,Dreamlight,☆☆☆☆,1,50,5,100,10,200,12,300,,
Repair Stalls,Mysteries,Base Game,Dreamlight,☆☆☆,1,50,4,300,7,500,,,,
Savor Some Sweetness,Mysteries,Base Game,Dreamlight,☆,Eat a combined total of 25 Marshmallows or S'mores,Hiking Backpack,,,,,,,,
Share Some Sweetness,Mysteries,Base Game,Dreamlight,☆,Gift 25 Roasted Marshmallows to Villagers,Birding Top,,,,,,,,
Spring Taste Test,Mysteries,Base Game,Dreamlight,☆,"Cook/eat Spring Chocolate, Spring Mimosa Eggs, Spring Egg Bowl",Spring Tableware,,,,,,,,
Squirrel!,Mysteries,Base Game,Dreamlight,☆,Craft Doug's Popcorn Bucket,Doug's Handheld Popcorn Bucket,,,,,,,,
Stitch-y Situation,Mysteries,Base Game,Dreamlight,☆,Craft Stitch Popcorn Bucket,Stitch's Handheld Popcorn Bucket,,,,,,,,
Stockpile Pumpkins,Mysteries,Base Game,Dreamlight,☆,Stockpile 100 Pumpkins,Pumpkin Stack,,,,,,,,
Sugar Rush,Mysteries,Base Game,Dreamlight,☆,Craft/Eat Candy,"Happy Jack-O'-Lantern (15 Candies), Marvelous Jack-O'-Lantern (30 Candies), Friendly Jack-O'-Lantern (45 Candies)",,,,,,,,
Sweet Samaritan,Mysteries,Base Game,Dreamlight,☆,Gift 50 themed cupcakes to villagers,Magic Kingdom Map,,,,,,,,
That's Not Where Eggs Come From!,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Trick or Treat,Mysteries,Base Game,Dreamlight,☆,Give a gift to 10 different Villagers,Mickey Mouse Pumpkin,,,,,,,,
Upgrade Moana's Boat,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,3,300,9,500,,,,
Upgrade Remy's Restaurant,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,2,300,3,500,,,,
Upgrade Scrooge's Store,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,2,300,3,500,,,,
Upgrade Wall-E's Garden,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,3,300,9,500,,,,
Upgrade Your House,Mysteries,Base Game,Dreamlight,☆☆☆,1,50,2,300,3,500,,,,
